index	value
0	-0.25
1	0.25
2	-0.15
3	0.15
4	-0.2
5	0.25
6	0.5
7	0.25
8	0.1
9	0.0
10	-0.25
11	0.25
12	-0.15
13	0.15
14	-0.2
15	0.25
16	0.5
17	0.25
18	0.1
19	0.0
20	-0.25
21	0.25
22	-0.15
23	0.15
24	-0.2
25	0.25
26	0.5
27	0.25
28	0.1
29	0.0
30	-0.25
31	0.25
32	-0.15
33	0.15
34	-0.2
35	0.25
36	0.5
37	0.25
38	0.1
39	0.0
40	-0.25
41	0.25
42	-0.15
43	0.15
44	-0.2
45	0.25
46	0.5
47	0.25
48	0.1
49	0.0
50	-0.25
51	0.25
52	-0.15
53	0.15
54	-0.2
55	0.25
56	0.5
57	0.25
58	0.1
59	0.0
60	-0.25
61	0.25
62	-0.15
63	0.15
64	-0.2
65	0.25
66	0.5
67	0.25
68	0.1
69	0.0
70	-0.25
71	0.25
72	-0.15
73	0.15
74	-0.2
75	0.25
76	0.5
77	0.25
78	0.1
79	0.0
80	-0.25
81	0.25
82	-0.15
83	0.15
84	-0.2
85	0.25
86	0.5
87	0.25
88	0.1
89	0.0
90	-0.25
91	0.25
92	-0.15
93	0.15
94	-0.2
95	0.25
96	0.5
97	0.25
98	0.1
99	0.0
100	-0.25
101	0.25
102	-0.15
103	0.15
104	-0.2
105	0.25
106	0.5
107	0.25
108	0.1
109	0.0
110	-0.25
111	0.25
112	-0.15
113	0.15
114	-0.2
115	0.25
116	0.5
117	0.25
118	0.1
119	0.0
120	-0.25
121	0.25
122	-0.15
123	0.15
124	-0.2
125	0.25
126	0.5
127	0.25
128	0.1
129	0.0
130	-0.25
131	0.25
132	-0.15
133	0.15
134	-0.2
135	0.25
136	0.5
137	0.25
138	0.1
139	0.0
140	-0.25
141	0.25
142	-0.15
143	0.15
144	-0.2
145	0.25
146	0.5
147	0.25
148	0.1
149	0.0
150	-0.25
151	0.25
152	-0.15
153	0.15
154	-0.2
155	0.25
156	0.5
157	0.25
158	0.1
159	0.0
160	-0.25
161	0.25
162	-0.15
163	0.15
164	-0.2
165	0.25
166	0.5
167	0.25
168	0.1
169	0.0
170	-0.25
171	0.25
172	-0.15
173	0.15
174	-0.2
175	0.25
176	0.5
177	0.25
178	0.1
179	0.0
180	-0.25
181	0.25
182	-0.15
183	0.15
184	-0.2
185	0.25
186	0.5
187	0.25
188	0.1
189	0.0
190	-0.25
191	0.25
192	-0.15
193	0.15
194	-0.2
195	0.25
196	0.5
197	0.25
198	0.1
199	0.0
200	-0.25
201	0.25
202	-0.15
203	0.15
204	-0.2
205	0.25
206	0.5
207	0.25
208	0.1
209	0.0
210	-0.25
211	0.25
212	-0.15
213	0.15
214	-0.2
215	0.25
216	0.5
217	0.25
218	0.1
219	0.0
220	-0.25
221	0.25
222	-0.15
223	0.15
224	-0.2
225	0.25
226	0.5
227	0.25
228	0.1
229	0.0
230	-0.25
231	0.25
232	-0.15
233	0.15
234	-0.2
235	0.25
236	0.5
237	0.25
238	0.1
239	0.0
240	-0.25
241	0.25
242	-0.15
243	0.15
244	-0.2
245	0.25
246	0.5
247	0.25
248	0.1
249	0.0
250	-0.25
251	0.25
252	-0.15
253	0.15
254	-0.2
255	0.25
256	0.5
257	0.25
258	0.1
259	0.0
260	-0.25
261	0.25
262	-0.15
263	0.15
264	-0.2
265	0.25
266	0.5
267	0.25
268	0.1
269	0.0
270	-0.25
271	0.25
272	-0.15
273	0.15
274	-0.2
275	0.25
276	0.5
277	0.25
278	0.1
279	0.0
280	-0.25
281	0.25
282	-0.15
283	0.15
284	-0.2
285	0.25
286	0.5
287	0.25
288	0.1
289	0.0
290	-0.25
291	0.25
292	-0.15
293	0.15
294	-0.2
295	0.25
296	0.5
297	0.25
298	0.1
299	0.0
300	-0.25
301	0.25
302	-0.15
303	0.15
304	-0.2
305	0.25
306	0.5
307	0.25
308	0.1
309	0.0
310	-0.25
311	0.25
312	-0.15
313	0.15
314	-0.2
315	0.25
316	0.5
317	0.25
318	0.1
319	0.0
320	-0.25
321	0.25
322	-0.15
323	0.15
324	-0.2
325	0.25
326	0.5
327	0.25
328	0.1
329	0.0
330	-0.25
331	0.25
332	-0.15
333	0.15
334	-0.2
335	0.25
336	0.5
337	0.25
338	0.1
339	0.0
340	-0.25
341	0.25
342	-0.15
343	0.15
344	-0.2
345	0.25
346	0.5
347	0.25
348	0.1
349	0.0
350	-0.25
351	0.25
352	-0.15
353	0.15
354	-0.2
355	0.25
356	0.5
357	0.25
358	0.1
359	0.0
360	-0.25
361	0.25
362	-0.15
363	0.15
364	-0.2
365	0.25
366	0.5
367	0.25
368	0.1
369	0.0
370	-0.25
371	0.25
372	-0.15
373	0.15
374	-0.2
375	0.25
376	0.5
377	0.25
378	0.1
379	0.0
380	-0.25
381	0.25
382	-0.15
383	0.15
384	-0.2
385	0.25
386	0.5
387	0.25
388	0.1
389	0.0
390	-0.25
391	0.25
392	-0.15
393	0.15
394	-0.2
395	0.25
396	0.5
397	0.25
398	0.1
399	0.0
400	-0.25
401	0.25
402	-0.15
403	0.15
404	-0.2
405	0.25
406	0.5
407	0.25
408	0.1
409	0.0
410	-0.25
411	0.25
412	-0.15
413	0.15
414	-0.2
415	0.25
416	0.5
417	0.25
418	0.1
419	0.0
420	-0.25
421	0.25
422	-0.15
423	0.15
424	-0.2
425	0.25
426	0.5
427	0.25
428	0.1
429	0.0
430	-0.25
431	0.25
432	-0.15
433	0.15
434	-0.2
435	0.25
436	0.5
437	0.25
438	0.1
439	0.0
440	-0.25
441	0.25
442	-0.15
443	0.15
444	-0.2
445	0.25
446	0.5
447	0.25
448	0.1
449	0.0
450	-0.25
451	0.25
452	-0.15
453	0.15
454	-0.2
455	0.25
456	0.5
457	0.25
458	0.1
459	0.0
460	-0.25
461	0.25
462	-0.15
463	0.15
464	-0.2
465	0.25
466	0.5
467	0.25
468	0.1
469	0.0
470	-0.25
471	0.25
472	-0.15
473	0.15
474	-0.2
475	0.25
476	0.5
477	0.25
478	0.1
479	0.0
480	-0.25
481	0.25
482	-0.15
483	0.15
484	-0.2
485	0.25
486	0.5
487	0.25
488	0.1
489	0.0
490	-0.25
491	0.25
492	-0.15
493	0.15
494	-0.2
495	0.25
496	0.5
497	0.25
498	0.1
499	0.0
500	-0.25
501	0.25
502	-0.15
503	0.15
504	-0.2
505	0.25
506	0.5
507	0.25
508	0.1
509	0.0
510	-0.25
511	0.25
512	-0.15
513	0.15
514	-0.2
515	0.25
516	0.5
517	0.25
518	0.1
519	0.0
520	-0.25
521	0.25
522	-0.15
523	0.15
524	-0.2
525	0.25
526	0.5
527	0.25
528	0.1
529	0.0
530	-0.25
531	0.25
532	-0.15
533	0.15
534	-0.2
535	0.25
536	0.5
537	0.25
538	0.1
539	0.0
540	-0.25
541	0.25
542	-0.15
543	0.15
544	-0.2
545	0.25
546	0.5
547	0.25
548	0.1
549	0.0
550	-0.25
551	0.25
552	-0.15
553	0.15
554	-0.2
555	0.25
556	0.5
557	0.25
558	0.1
559	0.0
560	-0.25
561	0.25
562	-0.15
563	0.15
564	-0.2
565	0.25
566	0.5
567	0.25
568	0.1
569	0.0
570	-0.25
571	0.25
572	-0.15
573	0.15
574	-0.2
575	0.25
576	0.5
577	0.25
578	0.1
579	0.0
580	-0.25
581	0.25
582	-0.15
583	0.15
584	-0.2
585	0.25
586	0.5
587	0.25
588	0.1
589	0.0
590	-0.25
591	0.25
592	-0.15
593	0.15
594	-0.2
595	0.25
596	0.5
597	0.25
598	0.1
599	0.0
600	-0.25
601	0.25
602	-0.15
603	0.15
604	-0.2
605	0.25
606	0.5
607	0.25
608	0.1
609	0.0
610	-0.25
611	0.25
612	-0.15
613	0.15
614	-0.2
615	0.25
616	0.5
617	0.25
618	0.1
619	0.0
620	-0.25
621	0.25
622	-0.15
623	0.15
624	-0.2
625	0.25
626	0.5
627	0.25
628	0.1
629	0.0
630	-0.25
631	0.25
632	-0.15
633	0.15
634	-0.2
635	0.25
636	0.5
637	0.25
638	0.1
639	0.0
640	-0.25
641	0.25
642	-0.15
643	0.15
644	-0.2
645	0.25
646	0.5
647	0.25
648	0.1
649	0.0
650	-0.25
651	0.25
652	-0.15
653	0.15
654	-0.2
655	0.25
656	0.5
657	0.25
658	0.1
659	0.0
660	-0.25
661	0.25
662	-0.15
663	0.15
664	-0.2
665	0.25
666	0.5
667	0.25
668	0.1
669	0.0
670	-0.25
671	0.25
672	-0.15
673	0.15
674	-0.2
675	0.25
676	0.5
677	0.25
678	0.1
679	0.0
680	-0.25
681	0.25
682	-0.15
683	0.15
684	-0.2
685	0.25
686	0.5
687	0.25
688	0.1
689	0.0
690	-0.25
691	0.25
692	-0.15
693	0.15
694	-0.2
695	0.25
696	0.5
697	0.25
698	0.1
699	0.0
700	-0.25
701	0.25
702	-0.15
703	0.15
704	-0.2
705	0.25
706	0.5
707	0.25
708	0.1
709	0.0
710	-0.25
711	0.25
712	-0.15
713	0.15
714	-0.2
715	0.25
716	0.5
717	0.25
718	0.1
719	0.0
720	-0.25
721	0.25
722	-0.15
723	0.15
724	-0.2
725	0.25
726	0.5
727	0.25
728	0.1
729	0.0
730	-0.25
731	0.25
732	-0.15
733	0.15
734	-0.2
735	0.25
736	0.5
737	0.25
738	0.1
739	0.0
740	-0.25
741	0.25
742	-0.15
743	0.15
744	-0.2
745	0.25
746	0.5
747	0.25
748	0.1
749	0.0
750	-0.25
751	0.25
752	-0.15
753	0.15
754	-0.2
755	0.25
756	0.5
757	0.25
758	0.1
759	0.0
760	-0.25
761	0.25
762	-0.15
763	0.15
764	-0.2
765	0.25
766	0.5
767	0.25
768	0.1
769	0.0
770	-0.25
771	0.25
772	-0.15
773	0.15
774	-0.2
775	0.25
776	0.5
777	0.25
778	0.1
779	0.0
780	-0.25
781	0.25
782	-0.15
783	0.15
784	-0.2
785	0.25
786	0.5
787	0.25
788	0.1
789	0.0
790	-0.25
791	0.25
792	-0.15
793	0.15
794	-0.2
795	0.25
796	0.5
797	0.25
798	0.1
799	0.0
800	-0.25
801	0.25
802	-0.15
803	0.15
804	-0.2
805	0.25
806	0.5
807	0.25
808	0.1
809	0.0
810	-0.25
811	0.25
812	-0.15
813	0.15
814	-0.2
815	0.25
816	0.5
817	0.25
818	0.1
819	0.0
820	-0.25
821	0.25
822	-0.15
823	0.15
824	-0.2
825	0.25
826	0.5
827	0.25
828	0.1
829	0.0
830	-0.25
831	0.25
832	-0.15
833	0.15
834	-0.2
835	0.25
836	0.5
837	0.25
838	0.1
839	0.0
840	-0.25
841	0.25
842	-0.15
843	0.15
844	-0.2
845	0.25
846	0.5
847	0.25
848	0.1
849	0.0
850	-0.25
851	0.25
852	-0.15
853	0.15
854	-0.2
855	0.25
856	0.5
857	0.25
858	0.1
859	0.0
860	-0.25
861	0.25
862	-0.15
863	0.15
864	-0.2
865	0.25
866	0.5
867	0.25
868	0.1
869	0.0
870	-0.25
871	0.25
872	-0.15
873	0.15
874	-0.2
875	0.25
876	0.5
877	0.25
878	0.1
879	0.0
880	-0.25
881	0.25
882	-0.15
883	0.15
884	-0.2
885	0.25
886	0.5
887	0.25
888	0.1
889	0.0
890	-0.25
891	0.25
892	-0.15
893	0.15
894	-0.2
895	0.25
896	0.5
897	0.25
898	0.1
899	0.0
900	-0.25
901	0.25
902	-0.15
903	0.15
904	-0.2
905	0.25
906	0.5
907	0.25
908	0.1
909	0.0
910	-0.25
911	0.25
912	-0.15
913	0.15
914	-0.2
915	0.25
916	0.5
917	0.25
918	0.1
919	0.0
920	-0.25
921	0.25
922	-0.15
923	0.15
924	-0.2
925	0.25
926	0.5
927	0.25
928	0.1
929	0.0
930	-0.25
931	0.25
932	-0.15
933	0.15
934	-0.2
935	0.25
936	0.5
937	0.25
938	0.1
939	0.0
940	-0.25
941	0.25
942	-0.15
943	0.15
944	-0.2
945	0.25
946	0.5
947	0.25
948	0.1
949	0.0
950	-0.25
951	0.25
952	-0.15
953	0.15
954	-0.2
955	0.25
956	0.5
957	0.25
958	0.1
959	0.0
960	-0.25
961	0.25
962	-0.15
963	0.15
964	-0.2
965	0.25
966	0.5
967	0.25
968	0.1
969	0.0
970	-0.25
971	0.25
972	-0.15
973	0.15
974	-0.2
975	0.25
976	0.5
977	0.25
978	0.1
979	0.0
980	-0.25
981	0.25
982	-0.15
983	0.15
984	-0.2
985	0.25
986	0.5
987	0.25
988	0.1
989	0.0
990	-0.25
991	0.25
992	-0.15
993	0.15
994	-0.2
995	0.25
996	0.5
997	0.25
998	0.1
999	0.0
1000	-0.25
1001	0.25
1002	-0.15
1003	0.15
1004	-0.2
1005	0.25
1006	0.5
1007	0.25
1008	0.1
1009	0.0
1010	-0.25
1011	0.25
1012	-0.15
1013	0.15
1014	-0.2
1015	0.25
1016	0.5
1017	0.25
1018	0.1
1019	0.0
1020	-0.25
1021	0.25
1022	-0.15
1023	0.15
1024	-0.2
1025	0.25
1026	0.5
1027	0.25
1028	0.1
1029	0.0
1030	-0.25
1031	0.25
1032	-0.15
1033	0.15
1034	-0.2
1035	0.25
1036	0.5
1037	0.25
1038	0.1
1039	0.0
1040	-0.25
1041	0.25
1042	-0.15
1043	0.15
1044	-0.2
1045	0.25
1046	0.5
1047	0.25
1048	0.1
1049	0.0
1050	-0.25
1051	0.25
1052	-0.15
1053	0.15
1054	-0.2
1055	0.25
1056	0.5
1057	0.25
1058	0.1
1059	0.0
1060	-0.25
1061	0.25
1062	-0.15
1063	0.15
1064	-0.2
1065	0.25
1066	0.5
1067	0.25
1068	0.1
1069	0.0
1070	-0.25
1071	0.25
1072	-0.15
1073	0.15
1074	-0.2
1075	0.25
1076	0.5
1077	0.25
1078	0.1
1079	0.0
1080	-0.25
1081	0.25
1082	-0.15
1083	0.15
1084	-0.2
1085	0.25
1086	0.5
1087	0.25
1088	0.1
1089	0.0
1090	-0.25
1091	0.25
1092	-0.15
1093	0.15
1094	-0.2
1095	0.25
1096	0.5
1097	0.25
1098	0.1
1099	0.0
1100	-0.25
1101	0.25
1102	-0.15
1103	0.15
1104	-0.2
1105	0.25
1106	0.5
1107	0.25
1108	0.1
1109	0.0
1110	-0.25
1111	0.25
1112	-0.15
1113	0.15
1114	-0.2
1115	0.25
1116	0.5
1117	0.25
1118	0.1
1119	0.0
1120	-0.25
1121	0.25
1122	-0.15
1123	0.15
1124	-0.2
1125	0.25
1126	0.5
1127	0.25
1128	0.1
1129	0.0
1130	-0.25
1131	0.25
1132	-0.15
1133	0.15
1134	-0.2
1135	0.25
1136	0.5
1137	0.25
1138	0.1
1139	0.0
1140	-0.25
1141	0.25
1142	-0.15
1143	0.15
1144	-0.2
1145	0.25
1146	0.5
1147	0.25
1148	0.1
1149	0.0
1150	-0.25
1151	0.25
1152	-0.15
1153	0.15
1154	-0.2
1155	0.25
1156	0.5
1157	0.25
1158	0.1
1159	0.0
1160	-0.25
1161	0.25
1162	-0.15
1163	0.15
1164	-0.2
1165	0.25
1166	0.5
1167	0.25
1168	0.1
1169	0.0
1170	-0.25
1171	0.25
1172	-0.15
1173	0.15
1174	-0.2
1175	0.25
1176	0.5
1177	0.25
1178	0.1
1179	0.0
1180	-0.25
1181	0.25
1182	-0.15
1183	0.15
1184	-0.2
1185	0.25
1186	0.5
1187	0.25
1188	0.1
1189	0.0
1190	-0.25
1191	0.25
1192	-0.15
1193	0.15
1194	-0.2
1195	0.25
1196	0.5
1197	0.25
1198	0.1
1199	0.0
1200	-0.25
1201	0.25
1202	-0.15
1203	0.15
1204	-0.2
1205	0.25
1206	0.5
1207	0.25
1208	0.1
1209	0.0
1210	-0.25
1211	0.25
1212	-0.15
1213	0.15
1214	-0.2
1215	0.25
1216	0.5
1217	0.25
1218	0.1
1219	0.0
1220	-0.25
1221	0.25
1222	-0.15
1223	0.15
1224	-0.2
1225	0.25
1226	0.5
1227	0.25
1228	0.1
1229	0.0
1230	-0.25
1231	0.25
1232	-0.15
1233	0.15
1234	-0.2
1235	0.25
1236	0.5
1237	0.25
1238	0.1
1239	0.0
1240	-0.25
1241	0.25
1242	-0.15
1243	0.15
1244	-0.2
1245	0.25
1246	0.5
1247	0.25
1248	0.1
1249	0.0
1250	-0.25
1251	0.25
1252	-0.15
1253	0.15
1254	-0.2
1255	0.25
1256	0.5
1257	0.25
1258	0.1
1259	0.0
1260	-0.25
1261	0.25
1262	-0.15
1263	0.15
1264	-0.2
1265	0.25
1266	0.5
1267	0.25
1268	0.1
1269	0.0
1270	-0.25
1271	0.25
1272	-0.15
1273	0.15
1274	-0.2
1275	0.25
1276	0.5
1277	0.25
1278	0.1
1279	0.0
1280	-0.25
1281	0.25
1282	-0.15
1283	0.15
1284	-0.2
1285	0.25
1286	0.5
1287	0.25
1288	0.1
1289	0.0
1290	-0.25
1291	0.25
1292	-0.15
1293	0.15
1294	-0.2
1295	0.25
1296	0.5
1297	0.25
1298	0.1
1299	0.0
1300	-0.25
1301	0.25
1302	-0.15
1303	0.15
1304	-0.2
1305	0.25
1306	0.5
1307	0.25
1308	0.1
1309	0.0
1310	-0.25
1311	0.25
1312	-0.15
1313	0.15
1314	-0.2
1315	0.25
1316	0.5
1317	0.25
1318	0.1
1319	0.0
1320	-0.25
1321	0.25
1322	-0.15
1323	0.15
1324	-0.2
1325	0.25
1326	0.5
1327	0.25
1328	0.1
1329	0.0
1330	-0.25
1331	0.25
1332	-0.15
1333	0.15
1334	-0.2
1335	0.25
1336	0.5
1337	0.25
1338	0.1
1339	0.0
1340	-0.25
1341	0.25
1342	-0.15
1343	0.15
1344	-0.2
1345	0.25
1346	0.5
1347	0.25
1348	0.1
1349	0.0
1350	-0.25
1351	0.25
1352	-0.15
1353	0.15
1354	-0.2
1355	0.25
1356	0.5
1357	0.25
1358	0.1
1359	0.0
1360	-0.25
1361	0.25
1362	-0.15
1363	0.15
1364	-0.2
1365	0.25
1366	0.5
1367	0.25
1368	0.1
1369	0.0
1370	-0.25
1371	0.25
1372	-0.15
1373	0.15
1374	-0.2
1375	0.25
1376	0.5
1377	0.25
1378	0.1
1379	0.0
1380	-0.25
1381	0.25
1382	-0.15
1383	0.15
1384	-0.2
1385	0.25
1386	0.5
1387	0.25
1388	0.1
1389	0.0
