index	value	noise
0	0.0	F
1	0.25	F
2	0.0	F
3	-0.25	F
4	0.0	F
5	0.25	F
6	0.0	F
7	-0.25	F
8	0.0	F
9	0.25	F
10	0.0	F
11	-0.25	F
12	0.0	F
13	0.25	F
14	0.0	F
15	-0.25	F
16	0.0	F
17	0.25	F
18	0.0	F
19	-0.25	F
20	0.25	F
21	-0.25	F
22	0.25	F
23	-0.25	F
24	0.25	F
25	-0.25	F
26	0.25	F
27	-0.25	F
28	0.0	F
29	0.25	F
30	0.0	F
31	-0.25	F
32	0.0	F
33	0.25	F
34	0.0	F
35	-0.25	F
36	0.0	F
37	0.25	F
38	0.0	F
39	-0.25	F
40	0.0	F
41	-0.25	F
42	0.25	F
43	-0.25	F
44	0.25	F
45	-0.25	F
46	0.25	F
47	-0.25	F
48	0.25	F
49	0.25	F
50	0.0	F
51	-0.25	F
52	0.0	F
53	0.25	F
54	0.0	F
55	-0.25	F
56	0.0	F
57	0.25	F
58	0.0	F
59	-0.25	F
60	0.0	F
61	0.25	F
62	0.0	F
63	-0.25	F
64	0.0	F
65	0.25	F
66	0.0	F
67	-0.25	F
68	0.0	F
69	0.25	F
70	0.0	F
71	-0.25	F
72	0.0	F
73	0.25	F
74	0.0	F
75	-0.25	F
76	0.25	F
77	-0.25	F
78	0.25	F
79	-0.25	F
80	0.25	F
81	-0.25	F
82	0.25	F
83	-0.25	F
84	0.0	F
85	0.25	F
86	0.0	F
87	-0.25	F
88	0.0	F
89	0.25	F
90	0.0	F
91	-0.25	F
92	0.0	F
93	0.25	F
94	0.0	F
95	-0.25	F
96	0.0	F
97	0.25	F
98	0.0	F
99	-0.25	F
100	0.0	F
101	0.15	F
102	0.25	F
103	0.15	F
104	0.0	F
105	-0.15	F
106	-0.25	F
107	-0.15	F
108	0.0	F
109	0.25	F
110	0.0	F
111	-0.25	F
112	0.0	F
113	0.25	F
114	0.0	F
115	-0.25	F
116	0.0	F
117	0.25	F
118	0.0	F
119	-0.25	F
120	0.0	F
121	0.25	F
122	0.0	F
123	-0.25	F
124	0.0	F
125	0.25	F
126	0.0	F
127	-0.25	F
128	0.0	F
129	0.25	F
130	0.0	F
131	-0.25	F
132	0.0	F
133	0.25	F
134	0.0	F
135	-0.25	F
136	0.0	F
137	0.25	F
138	0.0	F
139	-0.25	F
140	0.0	F
141	0.25	F
142	0.0	F
143	-0.25	F
144	0.0	F
145	0.25	F
146	0.0	F
147	-0.25	F
148	0.0	F
149	0.25	F
150	0.0	F
151	-0.25	F
152	0.0	F
153	0.25	F
154	0.0	F
155	-0.25	F
156	0.0	F
157	0.25	F
158	0.0	F
159	-0.25	F
160	0.0	F
161	0.25	F
162	0.0	F
163	-0.25	F
164	0.0	F
165	0.25	F
166	0.0	F
167	-0.25	F
168	0.0	F
169	0.25	F
170	0.0	F
171	-0.25	F
172	0.0	F
173	0.25	F
174	0.0	F
175	-0.25	F
176	0.0	F
177	0.25	F
178	0.0	F
179	-0.25	F
180	0.0	F
181	0.25	F
182	0.0	F
183	-0.25	F
184	0.0	F
185	0.25	F
186	0.0	F
187	-0.25	F
188	0.0	F
189	0.25	F
190	0.0	F
191	-0.25	F
192	0.0	F
193	0.25	F
194	0.0	F
195	-0.25	F
196	0.0	F
197	0.25	F
198	0.0	F
199	-0.25	F
200	0.0	F
201	0.25	F
202	0.0	F
203	-0.25	F
204	0.0	F
205	0.25	F
206	0.0	F
207	-0.25	F
208	0.0	F
209	0.25	F
210	0.0	F
211	-0.25	F
212	0.0	F
213	0.25	F
214	0.0	F
215	-0.25	F
216	0.0	F
217	0.25	F
218	0.0	F
219	-0.25	F
220	0.0	F
221	0.25	F
222	0.0	F
223	-0.25	F
224	0.0	F
225	0.25	F
226	0.0	F
227	-0.25	F
228	0.0	F
229	0.25	F
230	0.0	F
231	-0.25	F
232	0.0	F
233	0.25	F
234	0.0	F
235	-0.25	F
236	0.0	F
237	0.25	F
238	0.0	F
239	-0.25	F
240	0.0	F
241	0.25	F
242	0.0	F
243	-0.25	F
244	0.0	F
245	0.25	F
246	0.0	F
247	-0.25	F
248	0.0	F
249	0.25	F
250	0.0	F
251	-0.25	F
252	0.0	F
253	0.25	F
254	0.0	F
255	-0.25	F
256	0.0	F
257	0.25	F
258	0.0	F
259	-0.25	F
260	0.0	F
261	0.25	F
262	0.0	F
263	-0.25	F
264	0.0	F
265	0.25	F
266	0.0	F
267	-0.25	F
268	0.0	F
269	0.25	F
270	0.0	F
271	-0.25	F
272	0.0	F
273	0.25	F
274	0.0	F
275	-0.25	F
276	0.0	F
277	0.25	F
278	0.0	F
279	-0.25	F
280	0.0	F
281	0.25	F
282	0.0	F
283	-0.25	F
284	0.0	F
285	0.25	F
286	0.0	F
287	-0.25	F
288	0.0	F
289	0.25	F
290	0.0	F
291	-0.25	F
292	0.0	F
293	0.25	F
294	0.0	F
295	-0.25	F
296	0.0	F
297	0.25	F
298	0.0	F
299	-0.25	F
300	0.0	F
301	0.25	F
302	0.0	F
303	-0.25	F
304	0.0	F
305	0.25	F
306	0.0	F
307	-0.25	F
308	0.0	F
309	0.25	F
310	0.0	F
311	-0.25	F
312	0.0	F
313	0.25	F
314	0.0	F
315	-0.25	F
316	0.0	F
317	0.25	F
318	0.0	F
319	-0.25	F
320	0.0	F
321	0.25	F
322	0.0	F
323	-0.25	F
324	0.0	F
325	0.25	F
326	0.0	F
327	-0.25	F
328	0.0	F
329	0.25	F
330	0.0	F
331	-0.25	F
332	0.0	F
333	0.25	F
334	0.0	F
335	-0.25	F
336	0.0	F
337	0.25	F
338	0.0	F
339	-0.25	F
340	0.0	F
341	0.25	F
342	0.0	F
343	-0.25	F
344	0.0	F
345	0.25	F
346	0.0	F
347	-0.25	F
348	0.0	F
349	0.25	F
350	0.0	F
351	-0.25	F
352	0.0	F
353	0.25	F
354	0.0	F
355	-0.25	F
356	0.0	F
357	0.25	F
358	0.0	F
359	-0.25	F
360	0.0	F
361	0.25	F
362	0.0	F
363	-0.25	F
364	0.0	F
365	0.25	F
366	0.0	F
367	-0.25	F
368	0.0	F
369	0.25	F
370	0.0	F
371	-0.25	F
372	0.0	F
373	0.25	F
374	0.0	F
375	-0.25	F
376	0.0	F
377	0.25	F
378	0.0	F
379	-0.25	F
380	0.0	F
381	0.25	F
382	0.0	F
383	-0.25	F
384	0.0	F
385	0.25	F
386	0.0	F
387	-0.25	F
388	0.0	F
389	0.25	F
390	0.0	F
391	-0.25	F
392	0.0	F
393	0.25	F
394	0.0	F
395	-0.25	F
396	0.0	F
397	0.25	F
398	0.0	F
399	-0.25	F
400	0.0	F
401	0.25	F
402	0.0	F
403	-0.25	F
404	0.0	F
405	0.25	F
406	0.0	F
407	-0.25	F
408	0.0	F
409	0.25	F
410	0.0	F
411	-0.25	F
412	0.0	F
413	0.25	F
414	0.0	F
415	-0.25	F
416	0.0	F
417	0.25	F
418	0.0	F
419	-0.25	F
420	0.0	F
421	0.25	F
422	0.0	F
423	-0.25	F
424	0.0	F
425	0.25	F
426	0.0	F
427	-0.25	F
428	0.0	F
429	0.25	F
430	0.0	F
431	-0.25	F
432	0.0	F
433	0.25	F
434	0.0	F
435	-0.25	F
436	0.0	F
437	0.25	F
438	0.0	F
439	-0.25	F
440	0.0	F
441	0.25	F
442	0.0	F
443	-0.25	F
444	0.0	F
445	0.25	F
446	0.0	F
447	-0.25	F
448	0.0	F
449	0.25	F
450	0.0	F
451	-0.25	F
452	0.0	F
453	0.25	F
454	0.0	F
455	-0.25	F
456	0.0	F
457	0.25	F
458	0.0	F
459	-0.25	F
460	0.0	F
461	0.25	F
462	0.0	F
463	-0.25	F
464	0.0	F
465	0.25	F
466	0.0	F
467	-0.25	F
468	0.0	F
469	0.25	F
470	0.0	F
471	-0.25	F
472	0.0	F
473	0.25	F
474	0.0	F
475	-0.25	F
476	0.0	F
477	0.25	F
478	0.0	F
479	-0.25	F
480	0.0	F
481	0.25	F
482	0.0	F
483	-0.25	F
484	0.0	F
485	0.25	F
486	0.0	F
487	-0.25	F
488	0.0	F
489	0.25	F
490	0.0	F
491	-0.25	F
492	0.0	F
493	0.25	F
494	0.0	F
495	-0.25	F
496	0.0	F
497	0.25	F
498	0.0	F
