index	value	noise
0	-0.10519711	F
1	-0.25818852	F
2	0.09949163	F
3	0.15467532	F
4	0.10530982	F
5	-0.24576047	F
6	0.18716143	F
7	-0.066137165	F
8	-0.1641976	F
9	0.230833	F
10	-0.20643733	F
11	-0.058852825	F
12	-0.27481595	F
13	-0.12464569	F
14	0.026172157	F
15	0.2442616	F
16	0.02422262	F
17	0.24512558	F
18	-0.020640846	F
19	-0.12976003	F
20	0.0766177	F
21	0.2077397	F
22	0.18201853	F
23	-0.23950742	F
24	-0.09185666	F
25	0.21904121	F
26	-0.070783526	F
27	0.21896234	F
28	0.07588663	F
29	-0.04362016	F
30	0.21500553	F
31	-0.12327983	F
32	0.027063256	F
33	0.17453739	F
34	-0.10959807	F
35	-0.28586942	F
36	0.08310213	F
37	-0.09612211	F
38	0.046104167	F
39	0.21824299	F
40	-0.20034769	F
41	0.28116912	F
42	0.06386744	F
43	-0.2916633	F
44	0.25687605	F
45	-0.006828714	F
46	0.09353494	F
47	0.2365721	F
48	-0.19314684	F
49	0.12148869	F
50	0.094562314	F
51	0.063472606	F
52	-0.05386789	F
53	-0.29567322	F
54	-0.16854167	F
55	-0.08051295	F
56	-0.10857454	F
57	-0.22330306	F
58	-0.26810014	F
59	0.09415396	F
60	-0.28484342	F
61	0.21525887	F
62	-0.29563406	F
63	-0.15658621	F
64	0.1450269	F
65	-0.0026104797	F
66	0.2689714	F
67	0.07338809	F
68	-0.05201699	F
69	0.28621513	F
70	0.08076602	F
71	-0.2545319	F
72	0.0039244667	F
73	0.07424243	F
74	-0.08089807	F
75	0.15282889	F
76	-0.2717964	F
77	0.15787251	F
78	0.07975726	F
79	-0.25749177	F
80	-0.1755701	F
81	-0.026519954	F
82	-0.16165963	F
83	0.29996318	F
84	-0.15969786	F
85	-0.2971117	F
86	-0.14591552	F
87	0.074540704	F
88	-0.14084698	F
89	0.25196972	F
90	-0.14752093	F
91	0.20457181	F
92	0.08860116	F
93	0.02074921	F
94	-0.13673006	F
95	0.19982277	F
96	0.10516672	F
97	0.016786577	F
98	0.29719558	F
99	0.05680946	F
100	-0.120081946	F
101	-0.18423733	F
102	-0.17958575	F
103	0.019005451	F
104	-0.15482284	F
105	-0.05590787	F
106	0.12991089	F
107	0.24924679	F
108	-0.2339769	F
109	0.24803407	F
110	0.14626026	F
111	0.15566082	F
112	0.05279331	F
113	0.12217094	F
114	0.22195753	F
115	0.005218895	F
116	-0.008006333	F
117	0.2972734	F
118	-0.08588595	F
119	0.17053737	F
120	-0.017010806	F
121	0.033468414	F
122	-0.110348165	F
123	-0.11417655	F
124	0.04655809	F
125	0.22927533	F
126	-0.18078355	F
127	-0.2631129	F
128	-0.18114716	F
129	-0.25952604	F
