index	value	noise
0	0.28085238	F
1	0.07231068	F
2	0.20758075	F
3	0.027460227	F
4	-0.022042476	F
5	-0.005362343	F
6	-0.23461242	F
7	-0.12662452	F
8	0.19706564	F
9	0.10683126	F
10	-0.25056157	F
11	-0.07067821	F
12	0.033018723	F
13	0.09292422	F
14	0.19770515	F
15	0.19858852	F
16	0.26631474	F
17	0.06983508	F
18	-0.23578262	F
19	-0.10531867	F
20	-0.21451387	F
21	0.03859795	F
22	-0.2410712	F
23	0.09706268	F
24	-0.15179434	F
25	-0.055943057	F
26	0.14580216	F
27	-0.13958982	F
28	-0.23287565	F
29	0.045387264	F
30	0.09400466	F
31	-0.23713982	F
32	0.091407046	F
33	-0.27929658	F
34	0.17144106	F
35	-0.116022654	F
36	0.20864189	F
37	-0.031336326	F
38	0.2329374	F
39	0.22721529	F
40	-0.08573841	F
41	0.12837787	F
42	0.08722494	F
43	0.24440521	F
44	0.086824514	F
45	-0.28392535	F
46	0.12745912	F
47	0.18133458	F
48	0.16746503	F
49	-0.22711785	F
50	-0.12065528	F
51	-0.15624978	F
52	0.07053351	F
53	-0.06727508	F
54	0.25902408	F
55	0.08214389	F
56	0.24990688	F
57	-0.24726167	F
58	0.23972158	F
59	-0.18854775	F
60	-0.28833768	F
61	-0.2992503	F
62	0.00172275	F
63	0.118325934	F
64	-0.2012334	F
65	-0.034725495	F
66	0.08460343	F
67	0.16389632	F
68	-0.2228544	F
69	0.1431239	F
70	-0.026290927	F
71	-0.2360079	F
72	0.22495869	F
73	0.26811835	F
74	0.13472141	F
75	-0.2784695	F
76	-0.23188607	F
77	0.17155096	F
78	-0.039265323	F
79	0.1973324	F
80	-0.18497916	F
81	0.010941979	F
82	0.015600197	F
83	0.03588353	F
84	0.022288708	F
85	0.16827482	F
86	-0.25461626	F
87	0.21158698	F
88	0.27053872	F
89	-0.19769785	F
90	-0.11338405	F
91	-0.17117344	F
92	-0.054289795	F
93	0.14165917	F
94	0.1256024	F
95	-0.20431659	F
96	0.106200874	F
97	-0.07358054	F
98	-0.24260458	F
99	0.19642173	F
100	0.26989302	F
101	0.0453775	F
102	-0.24388392	F
103	-0.08811693	F
104	0.27757806	F
105	0.1747401	F
106	1.5025819E-4	F
107	0.17970224	F
108	-0.019497512	F
109	-0.09894237	F
110	-0.20367086	F
111	-0.25221938	F
112	0.15972024	F
113	0.0071242363	F
